Timestamp,Kraken,Kucoin,MEXC,Turbos Finance · Sui,Bluefin · Sui,Cetus · Sui,Gate.io
2025-08-19T00:00:00+00:00,252492.356414741805,411357.12164769857142857142857143,602753.202214801,,,,
2025-08-20T00:00:00+00:00,623178.06730202949479166666666666667,789280.69201935,917825.684584694722222222222222222,1716860.3435251798561151079136691,1748751.9397142857142857142857143,1132060.5113571428571428571428571,95212.520732232758620689655172414
2025-08-21T00:00:00+00:00,115493.597023385405,368430.14787951041666666666666667,357322.17001771784722222222222222,1054425.0575694444444444444444444,1748083.4507638888888888888888889,917576.30569444444444444444444444,151061.77631563888888888888888889
2025-08-22T00:00:00+00:00,32630.87863740246076388888888888889,131188.85819838055555555555555556,98550.949440219930555555555555556,332174.85916666666666666666666667,1120853.7597222222222222222222222,641752.28493055555555555555555556,72936.163663295138888888888888889
2025-08-23T00:00:00+00:00,22849.75449178099833333333333333333,108080.21238012291666666666666667,59805.5331623262,339578.33888888888888888888888889,1109301.39125,866244.66145833333333333333333333,85063.946781576388888888888888889
2025-08-24T00:00:00+00:00,11266.13107898097680555555555555556,61924.400065070833333333333333333,20573.258103077847222222222222222,38614.489305555555555555555555556,360920.20381944444444444444444444,58733.148194444444444444444444444,25629.146302680555555555555555556
2025-08-25T00:00:00+00:00,11053.3453745039548611111111111111,99417.3697438875,64911.472445356111111111111111111,123207.86256944444444444444444444,479813.35465277777777777777777778,156529.14534722222222222222222222,71045.312473305555555555555555556
2025-08-26T00:00:00+00:00,27126.42280475992930555555555555556,512261.26318603055555555555555556,362444.16483258493055555555555556,811000.70895833333333333333333333,1329318.4482638888888888888888889,1035233.0909722222222222222222222,295136.86638397569444444444444444
2025-08-27T00:00:00+00:00,41395.5326232311923611111111111111,453189.46542346527777777777777778,341138.28900109159722222222222222,1227360.1886805555555555555555556,1059590.5788888888888888888888889,1750869.65125,303738.11958088194444444444444444
2025-08-28T00:00:00+00:00,16457.79188959528625,183230.478984788,197343.076610361249289333333333333333333,509221.07368055555555555555555556,11840.9325,806947.25361111111111111111111111,128438.64975833680555555555555556
2025-08-29T00:00:00+00:00,13579.0562834998784722222222222222,135311.26767764930555555555555556,90108.985278091041666666666666667,365488.65395833333333333333333333,277892.07402777777777777777777778,549225.60027777777777777777777778,137747.15961019791666666666666667
2025-08-30T00:00:00+00:00,28723.51050319252305555555555555556,362851.62507736319444444444444444,270333.06887527111111111111111111,347811.51659722222222222222222222,824104.41763888888888888888888889,563783.43638888888888888888888889,709863.05627255208333333333333333
2025-08-31T00:00:00+00:00,31138.5618304765173611111111111111,739122.44025797013888888888888889,356562.76662662645833333333333333,144825.08409722222222222222222222,755976.26923611111111111111111111,188996.00291666666666666666666667,898698.37471925347222222222222222
2025-09-01T00:00:00+00:00,18119.76787429562798611111111111111,1067589.3675970020833333333333333,88348.876729078611111111111111111,139103.73930555555555555555555556,422131.25347222222222222222222222,102642.80965277777777777777777778,514209.55738302430555555555555556
2025-09-02T00:00:00+00:00,28213.87932533124541666666666666667,1493184.2316627347222222222222222,93800.142657816736111111111111111,652138.54270833333333333333333333,899037.75944444444444444444444444,605717.57590277777777777777777778,862666.85889995833333333333333333
2025-09-03T00:00:00+00:00,16237.17230053720590277777777777778,1809624.2321519090277777777777778,50839.114521913680555555555555556,379916.10875,576240.67854166666666666666666667,454958.57256944444444444444444444,328390.69267600347222222222222222
2025-09-04T00:00:00+00:00,20819.96821074387597222222222222222,396477.12898823263888888888888889,21181.664095257708333333333333333,126005.49486111111111111111111111,255398.12486111111111111111111111,130385.11027777777777777777777778,70265.531808440972222222222222222
2025-09-05T00:00:00+00:00,13601.41063629718307692307692307692,50636.562834123776223776223776224,28166.328170263706293706293706294,386545.96979020979020979020979021,617333.59594405594405594405594406,567785.97802816901408450704225352,94063.722276363636363636363636364
2025-09-06T00:00:00+00:00,227005.23393205559729166666666666667,328832.43903257013888888888888889,207428.08827671743055555555555556,795069.35265734265734265734265734,1100208.1537062937062937062937063,1033396.6811888111888111888111888,342158.98641191666666666666666667
2025-09-07T00:00:00+00:00,46591.34888413542527777777777777778,242527.35602652708333333333333333,134421.80478517722222222222222222,557312.16145833333333333333333333,707539.63715277777777777777777778,98519.465138888888888888888888889,306173.50199729513888888888888889
2025-09-08T00:00:00+00:00,56686.42911947861513888888888888889,209680.41430986875,364270.49999695034722222222222222,439195.78673611111111111111111111,552266.00166666666666666666666667,18886.591180555555555555555555556,350914.03143733680555555555555556
2025-09-09T00:00:00+00:00,42440.36668315961034722222222222222,118927.78603352847222222222222222,99558.287495096388888888888888889,485998.62972222222222222222222222,380356.42284722222222222222222222,42656.592916666666666666666666667,190626.23330039583333333333333333
2025-09-10T00:00:00+00:00,31783.19907947170055555555555555556,100726.44282072708333333333333333,35115.225870109791666666666666667,61078.312986111111111111111111111,23208.72958041958041958041958042,3637.2116197183098591549295774648,91753.046026385416666666666666667
2025-09-11T00:00:00+00:00,65333.31822676681236111111111111111,306583.45911284513888888888888889,97657.075305042291666666666666667,56476.331666666666666666666666667,45509.519791666666666666666666667,8114.0573611111111111111111111111,122711.58223992361111111111111111
2025-09-12T00:00:00+00:00,13794.38330748260388888888888888889,116890.47075297152777777777777778,95649.117368104166666666666666667,66836.403819444444444444444444444,87490.350138888888888888888888889,6997.4041666666666666666666666667,50284.522733913194444444444444444
2025-09-13T00:00:00+00:00,19421.92577312629111111111111111111,104506.4828299,52713.244762489583333333333333333,40842.748333333333333333333333333,42234.481041666666666666666666667,7490.0869444444444444444444444444,55777.282963909722222222222222222
