hour,num_trades,buy_count,sell_count,buy_volume,sell_volume,buy_value,sell_value,fees,realized_pnl,avg_buy_price,avg_sell_price,net_position_change,is_net_seller
2025-11-12 18:00:00,1,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-12 21:00:00,3,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-13 16:00:00,40,0,0,0,0,0,0,5.54717031245,-5.54717031245,0,0,0,False
2025-11-13 17:00:00,50,0,0,0,0,0,0,2.4147382863499995,-2.4147382863499995,0,0,0,False
2025-11-14 17:00:00,1,0,0,0,0,0,0,1.08482,-1.08482,0,0,0,False
2025-11-14 21:00:00,2,0,0,0,0,0,0,0.41647,-0.41647,0,0,0,False
2025-11-14 22:00:00,1,0,0,0,0,0,0,0.07937,-0.07937,0,0,0,False
2025-11-16 18:00:00,1,0,0,0,0,0,0,0.0030050328,-0.0030050328,0,0,0,False
2025-11-16 19:00:00,22,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-16 20:00:00,1,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-16 23:00:00,8,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-17 00:00:00,3,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-17 03:00:00,1,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-17 04:00:00,4,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-17 05:00:00,2,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-17 06:00:00,4,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-17 07:00:00,4,0,0,0,0,0,0,0.0,0.0,0,0,0,False
2025-11-17 09:00:00,2,0,0,0,0,0,0,0.0,0.0,0,0,0,False
