timestamp,exchange,spread,depth,volume,opportunity,position_size,executions,profit,capital
2025-11-11 02:00:00+00:00,Kucoin,0.1036465617926523,4398.799187587025,45766.29166666675,True,3519.03935006962,0.416,217.46173247973795,12666.52788641635
2025-11-11 03:00:00+00:00,Kucoin,0.0515620411640813,4547.779544205425,47104.83333333325,True,3638.22363536434,0.416,110.52335187217419,12777.051238288524
2025-11-11 04:00:00+00:00,Kucoin,0.0729800286331534,4870.9330656728,47550.25,True,3896.74645253824,0.416,168.72021059380612,12945.771448882331
2025-11-11 05:00:00+00:00,Kucoin,0.1131883216074299,4392.4302526919,49873.70833333325,True,3513.94420215352,0.416,237.37169433574743,13183.143143218078
2025-11-11 06:00:00+00:00,Kucoin,0.1101053641550831,4116.508154230675,53103.33333333325,True,3293.2065233845406,0.416,216.33638653838779,13399.479529756465
2025-11-11 07:00:00+00:00,Kucoin,0.0552162621780395,4254.52238213045,54139.66666666675,True,3403.61790570436,0.416,110.89875258391275,13510.378282340378
2025-11-11 08:00:00+00:00,Kucoin,0.039919409116707,4675.422023647775,55614.91666666675,True,3740.33761891822,0.416,87.35763322090739,13597.735915561285
2025-11-11 09:00:00+00:00,Kucoin,0.1135334805346958,4439.888277643275,55069.875,True,3551.91062211462,0.416,240.67588478291202,13838.411800344196
2025-11-11 10:00:00+00:00,Kucoin,0.1135061549083533,4062.8134189381,53469.08333333325,True,3250.25073515048,0.416,220.1819716518483,14058.593771996044
2025-11-11 11:00:00+00:00,Kucoin,0.1288422627556209,4288.494737679025,52859.45833333325,True,3430.79579014322,0.416,264.1500491444636,14322.743821140508
2025-11-11 12:00:00+00:00,Kucoin,0.1166726861907027,4707.6184025026,52586.79166666675,True,3766.09472200208,0.416,262.32026383571895,14585.064084976228
2025-11-11 13:00:00+00:00,Kucoin,0.1198360613949917,5213.038738999,51739.83333333325,True,4170.4309911992,0.416,298.4413474920602,14883.505432468288
2025-11-11 14:00:00+00:00,Kucoin,0.1292314973649227,4665.4421113175,51356.91666666675,True,3732.3536890540004,0.416,288.2444471638622,15171.74987963215
2025-11-11 15:00:00+00:00,Kucoin,0.0950598418505556,4351.5257444573,45987.29166666675,True,3481.22059556584,0.416,197.09367853457348,15368.843558166724
2025-11-11 16:00:00+00:00,Kucoin,0.1197714087208143,4591.48949216865,44624.79166666675,True,3673.1915937349204,0.416,262.7150146680274,15631.55857283475
2025-11-11 17:00:00+00:00,Kucoin,0.0983601895214987,5167.92540455395,42364.29166666675,True,4134.34032364316,0.416,242.30139216097916,15873.85996499573
2025-11-11 18:00:00+00:00,Kucoin,0.0646432352013891,4820.027177469625,41468.54166666675,True,3856.0217419757,0.416,147.56593977251768,16021.425904768248
2025-11-11 19:00:00+00:00,Kucoin,0.0616395539902201,5049.989938860975,45705.5,True,4039.99195108878,0.416,147.28654798600417,16168.712452754253
2025-11-11 20:00:00+00:00,Kucoin,0.0431788394609976,4771.636974969575,47948.0,True,3817.30957997566,0.416,96.66052354173415,16265.372976295987
2025-11-11 21:00:00+00:00,Kucoin,0.0462255357106242,4724.01660643895,48133.375,True,3779.2132851511597,0.416,102.64117716591501,16368.014153461902
2025-11-11 22:00:00+00:00,Kucoin,0.1444917739739724,4575.738245908725,45787.95833333325,True,3660.59059672698,0.416,316.3980163037425,16684.412169765645
2025-11-11 23:00:00+00:00,Kucoin,0.0957390746995153,4686.350442356825,41144.70833333325,True,3749.0803538854598,0.416,213.79494325869507,16898.20711302434
2025-11-12 00:00:00+00:00,Kucoin,0.0680467176875344,4230.338831145725,37918.08333333325,True,3384.27106491658,0.416,136.46037519259662,17034.667488216935
2025-11-12 01:00:00+00:00,Kucoin,0.0865502755369068,4401.695818893625,35351.0,True,3521.3566551149,0.416,181.2910125011552,17215.95850071809
2025-11-12 02:00:00+00:00,Kucoin,0.1080105284744435,4151.291024215475,32589.04166666675,True,3321.03281937238,0.416,213.967870376539,17429.92637109463
2025-11-12 03:00:00+00:00,Kucoin,0.1419718799216422,4301.31795950175,29814.83333333325,True,3441.0543676014004,0.416,292.19230715906343,17722.118678253693
2025-11-12 04:00:00+00:00,Kucoin,0.1357955836751467,4291.76497502485,28777.58333333325,True,3433.4119800198805,0.416,278.7520443550438,18000.870722608735
2025-11-12 05:00:00+00:00,Kucoin,0.1295839135761561,4074.2948375631,26887.45833333325,True,3259.43587005048,0.416,252.41454905430263,18253.285271663037
2025-11-12 06:00:00+00:00,Kucoin,0.1261124204692713,3530.99099679835,24113.0,True,2824.7927974386803,0.416,212.84014884942482,18466.12542051246
2025-11-12 07:00:00+00:00,Kucoin,0.1413674606472126,3790.589574382675,22055.5,True,2756.9375,0.416,233.09634249416658,18699.221763006626
2025-11-12 08:00:00+00:00,Kucoin,0.1299793533016653,3373.1230671513,20227.166666666675,True,2528.3958333333344,0.416,196.40504476135845,18895.626807767985
2025-11-12 09:00:00+00:00,Kucoin,0.1166337338477294,2237.5713894142177,20037.375,True,1790.0571115313742,0.416,124.64101123463992,19020.267819002624
