Timestamp,Kraken,Kucoin,MEXC,Gate.io
2025-08-19T00:00:00+00:00,3.1797714384190483,0.5596427706962762,0.6624217057322546,
2025-08-20T00:00:00+00:00,2.3671993634057,0.6972231812800324,0.47088304710483175,0.5972749834510435
2025-08-21T00:00:00+00:00,0.973920340192044,0.4304680506378056,0.33988751025093755,0.234814447073325
2025-08-22T00:00:00+00:00,0.7833002631813323,0.13787453104588263,0.09036842107361255,0.1469584358276369
2025-08-23T00:00:00+00:00,0.2786295359215551,0.07699799456148466,0.09270354331334756,0.09239068694362215
2025-08-24T00:00:00+00:00,0.19782933438477548,0.10560694360324477,0.07723430383473427,0.12236927726120841
2025-08-25T00:00:00+00:00,0.3253762183551235,0.136371731279836,0.16346727495613117,0.11528678907463806
2025-08-26T00:00:00+00:00,1.1397652791473094,0.40584589052250475,0.7464826232943516,0.29627203417965964
2025-08-27T00:00:00+00:00,1.2540034520885752,0.22710633299954058,0.4608927111127476,0.22130046960448513
2025-08-28T00:00:00+00:00,0.1876367891695004,0.13895749184646883,0.14336953234505748,0.14237273705456685
2025-08-29T00:00:00+00:00,0.5549810684156717,0.277705487721951,0.28810560970633253,0.29977360043294743
2025-08-30T00:00:00+00:00,0.5679333418159321,0.16293934625153222,0.21684827250439873,0.12981775316919902
2025-08-31T00:00:00+00:00,0.22732351792097505,0.08255907334979223,0.13457661672978527,0.08010733404809664
2025-09-01T00:00:00+00:00,0.7903036873228827,0.09922799318653876,0.15820190997206163,0.11666415716867758
2025-09-02T00:00:00+00:00,0.4627531704160985,0.1622441982507212,0.36663961005272205,0.1667060274191437
2025-09-03T00:00:00+00:00,0.5640818379189606,0.08665804823630534,0.17523466107296012,0.09581817298170708
2025-09-04T00:00:00+00:00,0.6568951441408722,0.09827197657055761,0.13371444871792065,0.08257146240968573
2025-09-05T00:00:00+00:00,1.0284367314914833,0.26012266265273404,0.26207269293478047,0.20910169786112656
2025-09-06T00:00:00+00:00,1.2890449009603253,0.43641212205416624,0.4862600813646749,0.3127886313123348
2025-09-07T00:00:00+00:00,0.7667258348690997,0.24697419965563241,0.26504587423466397,0.2140712181522197
2025-09-08T00:00:00+00:00,0.482814872822712,0.14728492790880413,0.14847386973119303,0.1315666809512181
2025-09-09T00:00:00+00:00,0.4201764270591413,0.17247604940847291,0.20332548284782448,0.16318553584399187
2025-09-10T00:00:00+00:00,0.3578998066486753,0.12346773922682595,0.19583857868296972,0.22706710155372037
2025-09-11T00:00:00+00:00,0.15819367604946485,0.13795633595138232,0.11964069762254695,0.17866174901887155
2025-09-12T00:00:00+00:00,0.15310337129017412,0.12392523728150491,0.13355902636336572,0.102458902887843
2025-09-13T00:00:00+00:00,0.14613553425568723,0.08087589740322818,0.09937701080394003,0.06144294383146167
2025-09-14T00:00:00+00:00,0.14181453680868536,0.09830813831499607,0.0949620612607886,0.08633786535863801
2025-09-15T00:00:00+00:00,0.16224234611614027,0.0800198290232553,0.10298668631298995,0.07821460620863142
2025-09-16T00:00:00+00:00,0.13031356443210482,0.0700142984573528,0.09237555141298505,0.06275383549637048
2025-09-17T00:00:00+00:00,0.15608112627863374,0.07963733644972766,0.08377817992090351,0.08997594190844192
2025-09-18T00:00:00+00:00,0.19257180398152746,0.10014999259340861,0.10120649189620588,0.09600137492455678
2025-09-19T00:00:00+00:00,0.22136326392452618,0.0943745361782738,0.12281459113871995,0.09995839264402917
2025-09-20T00:00:00+00:00,0.3484249767945859,0.1427221992289001,0.4108669527051196,0.10386079115801335
2025-09-21T00:00:00+00:00,0.1457268292744267,0.09600271231206238,0.18392964800735812,0.09393915266163469
2025-09-22T00:00:00+00:00,0.3857398844671314,0.1284107426562689,0.16145470959384822,0.14213543462374126
2025-09-23T00:00:00+00:00,0.14433662652939883,0.07332711807302833,0.09013541044768204,0.03770767778481442
2025-09-24T00:00:00+00:00,0.14937739773964898,0.0833821143728656,0.08749151690082467,0.03768778810602416
2025-09-25T00:00:00+00:00,0.1649120362309423,0.09896107722645416,0.10939680940158952,0.03548274593401397
2025-09-26T00:00:00+00:00,0.19465599032008635,0.07826978391045825,0.11735884801865944,0.040327698090597344
2025-09-27T00:00:00+00:00,0.1427918964129749,0.08531007968058327,0.094844232150557,0.03679462131203272
2025-09-28T00:00:00+00:00,0.1606853847897941,0.10262087417934193,0.10244520089178885,0.04347254570445354
2025-09-29T00:00:00+00:00,0.14330913659036237,0.09444190405859222,0.1568126428762078,0.040455055255772775
2025-09-30T00:00:00+00:00,0.21251861945041356,0.10145722790548516,0.13338508721674697,0.043039824521993696
2025-10-01T00:00:00+00:00,0.2168671464396489,0.08994002596907921,0.09481021598973194,0.04575044674349577
2025-10-02T00:00:00+00:00,0.23913618412351456,0.10871232109178106,0.2314715647432959,0.06915315632294744
2025-10-03T00:00:00+00:00,0.35742384169093405,0.1270360849166326,0.33769152429137905,0.07473865427111726
2025-10-04T00:00:00+00:00,0.8182831291456395,0.17177948003491542,0.2627336415936375,0.09483307023793129
2025-10-05T00:00:00+00:00,0.8295724936104343,0.14127855190427774,0.41333427853330285,0.0909023026567981
2025-10-06T00:00:00+00:00,0.28754459564544005,0.16172861812454925,0.5145091366085459,0.11021601545639907
2025-10-07T00:00:00+00:00,0.8143181366536696,0.1992300789092748,0.601240626522677,0.12188345319114019
2025-10-08T00:00:00+00:00,0.3345001261142803,0.159652878899921,0.48585447882929883,0.19387134275409829
2025-10-09T00:00:00+00:00,0.8515008394309187,0.3360767286592089,1.1796904515935598,0.34313305427759644
