Timestamp,Kraken Bid Depth,Kraken Ask Depth,Kucoin Bid Depth,Kucoin Ask Depth,MEXC Bid Depth,MEXC Ask Depth,Gate.io Bid Depth,Gate.io Ask Depth
2025-08-19T00:00:00+00:00,-1108.781867875004167706859883,843.08657478513569774787457142857142857143,-3475.7626939441426914631716242857142857142857,10017.45939862085699050036864285714285714286,-1634.6756204592569828218372,1577.467887732928447549814285714285714286,,
2025-08-20T00:00:00+00:00,-3575.440678153542939300359375,4034.372558755748382626459472222222222222222,-4270.067216714930268940393708333333333333333,5467.5587095989579667885149555555555555555556,-5030.74685468378448858396923611111111111111,3132.004352644409498476264423611111111111111,-6353.7322813965517241379310344828,8589.5190729224137931034482758621
2025-08-21T00:00:00+00:00,-13405.88488597937451001484756944444444444444,14161.10134444395034310423611111111111111,-13426.94151458333245093551986111111111111111,17971.5221342659685694310888888888888888889,-7585.785928334860932810269097222222222222222,8706.91950145079798908409652777777777777778,-16630.926662079861111111111111111,12478.372566902777777777777777778
2025-08-22T00:00:00+00:00,-17577.228262625772760124201388888888888889,17214.843830400221195012138888888888888889,-30379.2931416027748243861111111111111111,30688.670087037147761980729166666666666667,-6150.5597257510761251783229166666666666667,20932.228079738503598988930555555555555556,-34211.798627753472222222222222222,12789.273753003472222222222222222
2025-08-23T00:00:00+00:00,-14713.60685592184356028659375,19410.618003937161861873229166666666666667,-16259.71612516006769288902666666666666666667,29999.95000771075902860576388888888888889,-4940.76433823284703470000520833333333333333,19223.47125291228898054076388888888888889,-21302.088478631944444444444444444,14695.996050059027777777777777778
2025-08-24T00:00:00+00:00,-18630.588816527079144241909722222222222222,20423.3848296163551571112465277777777777778,-21311.027874950692372985798611111111111111,37216.2656397833287514085868055555555555556,-7505.000213893541247478333333333333333333,22128.33459269826218234680555555555555556,-26030.060954871527777777777777778,14428.149175166666666666666666667
2025-08-25T00:00:00+00:00,-24445.67329620963970166965277777777777778,24165.869798811556156415590277777777777778,-24499.010908408676919165,36922.5154489586775497576388888888888889,-16357.29680818673301795965277777777777778,15750.60412810867753528618055555555555556,-35197.386516493055555555555555556,14069.907881940972222222222222222
2025-08-26T00:00:00+00:00,-11048.5524803874056439243166666666666666667,10268.262735978891399970597222222222222222,-11549.171910941318511508615625,18361.7867190368044760897506944444444444444,-9150.199326382638226360706736111111111111111,8273.52392029180425758381319444444444444444,-14537.536104104166666666666666667,7228.74077471875
2025-08-27T00:00:00+00:00,-22883.552355756362209818152777777777777778,22089.69034925510246300979166666666666667,-29166.06380169131777119951388888888888889,18566.9849027965263672915243055555555555556,-8712.1291071456245448982258680555555555555556,12598.41011511215151128923368055555555555556,-12668.623643260416666666666666667,22343.092137909722222222222222222
2025-08-28T00:00:00+00:00,-32013.59564697417440005666666666666666667,32288.855010217163190015868055555555555556,-35429.5718733531234500826388888888888889,30335.2982882656238699694444444444444444,-15768.51475337489447687506944444444444444,15531.39270941402651598368055555555555556,-14755.831861243055555555555555556,35673.493299416666666666666666667
2025-08-29T00:00:00+00:00,-25509.731023152296752835798611111111111111,26479.96718219239419892277777777777777778,-27559.00362074062380578184375,28321.955133431596150353784722222222222222,-10998.1215097194781763337826388888888888889,10870.686254125311357867283020833333333333333,-14825.082736625,26917.117172670138888888888888889
2025-08-30T00:00:00+00:00,-25887.65473665440861575652777777777777778,21526.35680599953975545562465277777777777778,-24346.98663557152667405715625,26069.33713106979056463281215277777777777778,-9541.660664468957993160842708333333333333333,14612.88633711183932142852534722222222222222,-15177.275202541666666666666666667,22382.312311986111111111111111111
2025-08-31T00:00:00+00:00,-31705.539778263237592681875,21826.97094605662253038388888888888888889,-19885.326409085415697069243055555555555556,20934.25798445416630713715277777777777778,-2343.39243265524266719804479166666666666667,17803.1229195418045147715451388888888888889,-15484.858940451388888888888888889,16307.009907666666666666666666667
2025-09-01T00:00:00+00:00,-28907.0279286975961674715277777777777778,20565.7295502610361438677694444444444444444,-24647.365852145137469517406875,24434.8046400763879536421708333333333333333,-324.24787918093748275940131944444444444444,13778.4867166573256014621770833333333333333,-21892.9909853125,16509.509550722222222222222222222
2025-09-02T00:00:00+00:00,-26031.646186068567614592534722222222222222,23159.012907921116517855458333333333333333,-16231.004366495138096681762881944444444444444,20699.419345143053757860930555555555555556,-3035.532288243471642151381944444444444444,7535.3710946606589586100441319444444444444444,-14919.942396260416666666666666667,15973.986311059027777777777777778
2025-09-03T00:00:00+00:00,-32641.72670379170235627834375,16150.82815614231950584711631944444444444444,-17135.84442601770702298854166666666666667,22097.338583444790310487780798611111111111111,-562.1169343177083021476423611111111111111,14340.5853084918042014418784722222222222222,-16679.1481498437,13504.965501885416666666666666667
2025-09-04T00:00:00+00:00,-31008.0307460056216875923611111111111111,21324.2027722562548206993055555555555556,-12378.67181522673577116472222222222222222,20897.85257150312403112506944444444444444,-176.12305129819443546916076388888888888889,10841.1548517307631316384479166666666666667,-16854.877042149305555555555555556,11858.175367111111111111111111111
